,Value,Form,clics_form,ConceptionID,ConceptionName,Language_ID,language,Family
0,inau,inau,inau,1209,I,areare1,'Are'are (1),Austronesian
1,puri-na,puri-na,purina,1685,AFTER,areare1,'Are'are (1),Austronesian
2,emauri,emauri,emauri,1422,BE ALIVE,areare1,'Are'are (1),Austronesian
3,nā,nā,na,1577,AND,areare1,'Are'are (1),Austronesian
4,kaika!i-na,kaika!i-na,kaikaina,1673,ARM,areare1,'Are'are (1),Austronesian
5,korakora,korakora,korakora,646,ASH,areare1,'Are'are (1),Austronesian
6,poiresia,poiresia,poiresia,1309,ASK (INQUIRE),areare1,'Are'are (1),Austronesian
7,i,i,i,1461,AT,areare1,'Are'are (1),Austronesian
8,kokoruna,kokoruna,kokoruna,1291,BACK,areare1,'Are'are (1),Austronesian
9,ta!ara,ta!ara,taara,1292,BAD,areare1,'Are'are (1),Austronesian
